chr14	67726943	92270317	5S_rRNA	78644204
chr14	85655239	100954124	7SK	90088406
chr14	74751979	74769767	ABCD4	74763380
chr14	51338877	51371688	ABHD12B	51347080
chr14	23067146	23081265	ABHD4	23071567
chr14	105994255	107283085	abParts	106638670
chr14	71683031	71683462	AC004817.1	71683462
chr14	72456191	72458326	AC005477.1	72458326
chr14	78227711	78228033	AC008372.1	78228033
chr14	23527773	23564823	ACIN1	23536585.5
chr14	74003818	74042362	ACOT1	74007212
chr14	74034323	74042362	ACOT2	74038342
chr14	74058409	74063200	ACOT4	74059424.5
chr14	74077649	74086592	ACOT6	74081359
chr14	69340839	69446157	ACTN1	69393461
chr14	69446398	69454180	ACTN1-AS1	69450289
chr14	58666798	58702353	ACTR10	58687822
chr14	75519924	75530752	ACYP1	75528041.5
chr14	70989075	71001732	ADAM20	70995404
chr14	70935595	70950473	ADAM20P1	70943034
chr14	70918873	70926622	ADAM21	70922747
chr14	70712469	70714518	ADAM21P1	70713493
chr14	106435818	106438358	ADAM6	106437088
chr14	78266425	78400297	ADCK1	78333361
chr14	24787554	24804277	ADCY4	24802867
chr14	105190523	105213647	ADSSL1	105202090
chr14	22971217	22971276	ADV21S1A1N	22971246
chr14	23025534	23027939	AE000662.92	23025534
chr14	105223759	105225991	AF401214	105224875
chr14	22356438	22356683	AF532840	22356560
chr14	105403589	105444694	AHNAK2	105420205
chr14	77924372	77935817	AHSA1	77929720
chr14	23440383	23451848	AJUBA	23446128
chr14	19650031	19925333	AK022914	19787121.5
chr14	73075741	73079803	AK024141	73077772
chr14	76662780	76665886	AK025117	76664333
chr14	76666574	76669131	AK055384	76667852
chr14	73929128	73946036	AK055876	73937582
chr14	64991470	64993875	AK055910	64992672
chr14	19919491	19925333	AK056135	19922412
chr14	24912177	24971403	AK056368	24941790
chr14	50410254	50428678	AK092589	50419466
chr14	93357768	93359851	AK093301	93358809
chr14	22849082	22951948	AK093552	22900515
chr14	71075514	71108015	AK093892	71091764
chr14	75292223	75295550	AK096592	75293886
chr14	55152078	55154289	AK096898	55153183
chr14	104153240	104156517	AK097119	104154878
chr14	89802560	89804712	AK098481	89803636
chr14	101320997	101323960	AK123878	101322478
chr14	77535522	77542534	AK124327	77539028
chr14	22886527	22901726	AK125397	22894126
chr14	77248082	77253067	AK125727	77250574
chr14	38365264	38371329	AK125955	38368296
chr14	95643819	95646270	AK127179	95645044
chr14	35568881	35579932	AK128559	35574406
chr14	106326590	106329064	AK128652	106327827
chr14	102678573	102681339	AK130824	102679956
chr14	24605383	24606377	AK307150	24605880
chr14	102352724	102354918	AK311282	102353821
chr14	96858447	96955764	AK7	96862037
chr14	64932216	64941221	AKAP5	64935754
chr14	32798478	33302268	AKAP6	33001148
chr14	105235686	105262088	AKT1	105247959.5
chr14	101359265	101360646	AL117190.3	101359265
chr14	58754751	58755865	AL132989.1	58754751
chr14	92038788	92041383	AL133373.1	92041383
chr14	23286463	23291750	AL135998.1	23291750
chr14	50300810	50311552	AL627171.1	50311552
chr14	74526871	74551196	ALDH6A1	74545114.5
chr14	78138747	78174363	ALKBH1	78165457.5
chr14	103388992	103397529	AMN	103393085
chr14	21152335	21167130	ANG	21160791.5
chr14	77253585	77292589	ANGEL1	77279511.5
chr14	102973179	102976136	ANKRD9	102974418.5
chr14	24028776	24037279	AP1G2	24035192
chr14	31494311	31565656	AP4S1	31529983
chr14	57735605	57756797	AP5M1	57738890
chr14	20923289	20925931	APEX1	20923980
chr14	104029298	104073860	APOPT1	104036387.5
chr14	75120140	75179807	AREL1	75160053
chr14	50359735	50363772	ARF6	50360718
chr14	68086515	68118436	ARG2	68094511
chr14	32545320	32628934	ARHGAP5	32587561
chr14	32544624	32545905	ARHGAP5-AS1	32545264
chr14	21538429	21558036	ARHGEF40	21543957
chr14	58765103	58840605	ARID4A	58785930.5
chr14	94400498	94443137	ASB2	94412984
chr14	104552016	104579098	ASPG	104562852
chr14	55833108	55878576	ATG14	55855842
chr14	96747594	96829678	ATG2B	96801157
chr14	50999744	51099784	ATL1	51056527
chr14	50779046	50802276	ATP5S	50785195
chr14	67761088	67826720	ATP6V1D	67818163
chr14	92524895	92572965	ATXN3	92555078
chr14	22320535	22989009	AV1S4A1N1T	22322415
chr14	22689762	22690367	AV25S1	22690064
chr14	22771875	22772438	av27s1	22772156
chr14	22356036	22745911	AV2S1A1	22453666.5
chr14	22509128	22509405	AV30S1	22509266
chr14	22670486	22981890	AV4S1	22748531
chr14	22386351	22386929	AV8S2	22386639.5
chr14	22993296	23014837	AV8S2A1N1T	23004066
chr14	92511118	92516990	AX721199	92514054
chr14	103368429	103371146	AX746522	103369787
chr14	67913800	67914649	AX746582	67914224
chr14	104146165	104150352	AX746968	104148255
chr14	104975961	104979413	AX746996	104977945.5
chr14	88699494	88701679	AX747031	88700586
chr14	100608255	100610572	AX747103	100609413
chr14	24030305	24037282	AX747770	24033793
chr14	73741925	73744629	AX747833	73743277
chr14	92914812	92916506	AX747894	92915644
chr14	21058560	21075296	AX747992	21066928
chr14	45407754	45409773	AX748292	45408763
chr14	106095337	106095517	AY748447	106095427
chr14	104022880	104029168	BAG5	104026422
chr14	75988768	76013358	BATF	75994913
